2025-04-25T19:35:52.334922+0530 INFO Initializing QueryRetrieval...
2025-04-25T19:35:56.404772+0530 INFO QueryRetrieval initialized successfully.
2025-04-25T19:35:56.407271+0530 INFO Total stored documents: 0
2025-04-25T19:36:43.597961+0530 INFO Received request to ingest PDFs from folder: D:\NCERT\CLASS9\eCONOMICS
2025-04-25T19:36:43.601370+0530 INFO Extracting text from: D:\NCERT\CLASS9\eCONOMICS\class9_economics_c4.pdf
2025-04-25T19:36:44.967849+0530 DEBUG Stored chunk 0 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:45.104760+0530 DEBUG Stored chunk 1 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:45.246331+0530 DEBUG Stored chunk 2 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:45.688109+0530 DEBUG Stored chunk 3 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:45.874990+0530 DEBUG Stored chunk 4 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:46.018364+0530 DEBUG Stored chunk 5 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:46.142204+0530 DEBUG Stored chunk 6 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:46.275264+0530 DEBUG Stored chunk 7 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:46.380446+0530 DEBUG Stored chunk 8 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:46.461789+0530 DEBUG Stored chunk 9 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:46.621755+0530 DEBUG Stored chunk 10 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:46.874889+0530 DEBUG Stored chunk 11 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:47.122035+0530 DEBUG Stored chunk 12 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:47.336667+0530 DEBUG Stored chunk 13 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:47.514357+0530 DEBUG Stored chunk 14 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:47.740093+0530 DEBUG Stored chunk 15 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:47.930876+0530 DEBUG Stored chunk 16 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:48.202797+0530 DEBUG Stored chunk 17 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:48.391302+0530 DEBUG Stored chunk 18 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:48.526395+0530 DEBUG Stored chunk 19 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:48.689784+0530 DEBUG Stored chunk 20 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:48.856792+0530 DEBUG Stored chunk 21 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:49.088408+0530 DEBUG Stored chunk 22 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:49.379106+0530 DEBUG Stored chunk 23 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:49.580134+0530 DEBUG Stored chunk 24 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:49.734218+0530 DEBUG Stored chunk 25 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:49.879870+0530 DEBUG Stored chunk 26 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:50.072956+0530 DEBUG Stored chunk 27 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:50.185033+0530 DEBUG Stored chunk 28 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:50.311835+0530 DEBUG Stored chunk 29 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:50.440317+0530 DEBUG Stored chunk 30 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:50.636234+0530 DEBUG Stored chunk 31 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:50.839782+0530 DEBUG Stored chunk 32 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:51.056669+0530 DEBUG Stored chunk 33 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:51.216760+0530 DEBUG Stored chunk 34 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:51.315330+0530 DEBUG Stored chunk 35 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:51.391184+0530 DEBUG Stored chunk 36 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:51.442465+0530 DEBUG Stored chunk 37 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:51.515621+0530 DEBUG Stored chunk 38 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:51.570805+0530 DEBUG Stored chunk 39 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:51.646807+0530 DEBUG Stored chunk 40 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:51.716621+0530 DEBUG Stored chunk 41 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:51.784806+0530 DEBUG Stored chunk 42 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:51.882553+0530 DEBUG Stored chunk 43 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:51.961386+0530 DEBUG Stored chunk 44 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.033375+0530 DEBUG Stored chunk 45 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.085458+0530 DEBUG Stored chunk 46 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.142080+0530 DEBUG Stored chunk 47 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.201046+0530 DEBUG Stored chunk 48 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.264282+0530 DEBUG Stored chunk 49 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.338958+0530 DEBUG Stored chunk 50 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.373239+0530 DEBUG Stored chunk 51 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.435424+0530 DEBUG Stored chunk 52 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.489038+0530 DEBUG Stored chunk 53 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.546730+0530 DEBUG Stored chunk 54 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.607721+0530 DEBUG Stored chunk 55 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.662974+0530 DEBUG Stored chunk 56 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.741628+0530 DEBUG Stored chunk 57 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.822430+0530 DEBUG Stored chunk 58 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.887812+0530 DEBUG Stored chunk 59 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:52.946879+0530 DEBUG Stored chunk 60 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:53.001199+0530 DEBUG Stored chunk 61 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:53.056603+0530 DEBUG Stored chunk 62 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:53.107253+0530 DEBUG Stored chunk 63 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:53.165583+0530 DEBUG Stored chunk 64 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:53.227758+0530 DEBUG Stored chunk 65 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:53.282168+0530 DEBUG Stored chunk 66 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:53.341394+0530 DEBUG Stored chunk 67 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:53.418804+0530 DEBUG Stored chunk 68 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:53.465833+0530 DEBUG Stored chunk 69 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:53.547048+0530 DEBUG Stored chunk 70 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:53.623295+0530 DEBUG Stored chunk 71 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:53.690465+0530 DEBUG Stored chunk 72 from class9_economics_c4.pdf - Class 9, Economics, Chapter 4
2025-04-25T19:36:53.690917+0530 INFO Extracting text from: D:\NCERT\CLASS9\eCONOMICS\class9_economics_c1.pdf
2025-04-25T19:36:54.194088+0530 DEBUG Stored chunk 0 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.250056+0530 DEBUG Stored chunk 1 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.319718+0530 DEBUG Stored chunk 2 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.379892+0530 DEBUG Stored chunk 3 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.437881+0530 DEBUG Stored chunk 4 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
